,dataset,our_score,target
100,LL0_1534_volcanoes_b4,0.3042302358437309,0.2189517819706499
101,LL0_40687_solar_flare_2,N/A,0.564954051796157
102,LL0_40498_wine_quality_white,0.4155355255153802,0.2308735210496801
103,LL0_228_breast_cancer_wisconsin_diagnostic,0.9405703178113647,0.2308735210496801
104,LL0_1548_autouniv_au4_2500,N/A,0.4184647393684285
105,LL0_1479_hill_valley,0.5217800887248389,0.8666666666666667
106,LL0_180_covertype,N/A,0.3666910313292284
107,LL0_1549_autouniv_au6_750,0.1390501387360836,0.11003695814040644
108,LL0_852_analcatdata_gsssexsurvey,0.568510101010101,0.5765275257108288
109,LL0_1435_fourclass,0.6359300100746956,0.6022974214156938
110,LL0_21_car,N/A,0.7932965826468172
111,LL0_307_vowel,0.9023708687253581,0.6659110463615826
112,LL0_1471_eeg_eye_state,0.8927724342429293,0.5844702079403491
113,LL0_1071_mw1,0.5205511111208765,0.338862844091838
114,LL0_557_analcatdata_apnea1,6323701.691810816,9572152.624696247
115,LL0_333_monks_problems_1,N/A,0.5824213406292749
116,LL0_1044_eye_movements,0.62503981148294,0.5149644796409376
117,LL0_1480_ilpd,0.5828139846111484,0.6229900786862812
118,LL0_549_strikes,N/A,495626.7873201772
119,LL0_1547_autouniv_au1_1000,N/A,0.6615646258503399
120,LL0_1560_cardiotocography,0.9817499294907174,0.8990065672286033
121,LL0_463_backache,0.4594276556776557,0.5038979447200567
122,LL0_1245_lungcancer_shedden,N/A,6.258785699757802
123,LL0_458_analcatdata_authorship,0.9610752558467514,0.9958947439262401
124,LL0_1507_twonorm,0.9398333900498409,0.9803920134404608
125,LL0_207_autoPrice,12296105.016598715,6985715.523464004
126,LL0_1551_autouniv_au6_400,0.1234236310187397,0.15605673336431491
127,LL0_1100_popularkids,N/A,0.4142804770222768
128,LL0_547_no2,0.28864422875192586,0.27861402915787203
129,LL0_308_puma32h,N/A,0.000673680792493298
130,LL0_562_cpu_small,N/A,88.63024214491102
131,LL0_227_cpu_small,N/A,89.71399581282115
132,LL0_1570_wilt,0.9113755807209009,0.809728524324292
133,LL0_1515_micro_mass,N/A,0.8306649675013519
134,LL0_1449_MeanWhile1,0.5502477650063857,0.6541633413141793
135,LL0_1065_kc3,0.49450989165797876,0.6336996336996337
136,LL0_40478_thyroid_dis,0.4743235348314959,0.3851159362430209
137,LL0_40712_crx,0.8500341085256456,0.890300539155501
138,LL0_197_cpu_act,N/A,80.47313557070227
139,LL0_1496_ringnorm,0.9325316237792917,0.7681450484791283
140,LL0_1443_pizzacutter1,0.5839169185826145,0.6008064516129032
141,LL0_40682_thyroid_new,0.9166013071895425,0.9461658841940532
142,LL0_1468_cnae_9,N/A,0.9399872333003032
143,LL0_16_mfeat_karhunen,0.899464667999028,0.9344275923412558
144,LL0_1046_mozilla4,0.9382178311945392,0.7532314923619272
145,LL0_1464_blood_transfusion_service_center,0.5803149321456182,0.7332480818414322
146,LL0_uci_dow_jones_index,0.08482766574638101,0.08835430601618631
147,LL0_1476_gas_drift,0.9915214226070626,0.9897375209717792
148,LL0_40474_thyroid_allbp,0.4743235348314959,0.3820515129644736
149,LL0_455_cars,N/A,0.7544789719073202
150,LL0_50_tic_tac_toe,N/A,0.9707387321138584
151,LL0_200_pbc,N/A,824215.449309801
152,LL0_49_heart_c,0.8126807215084911,0.8670076726342709
153,LL0_1555_autoUniv_au6_1000,0.16015132465802964,0.14646676852559204
154,LL0_1552_autouniv_au7_1100,0.36566691005382324,0.2336394780690517
155,LL0_688_visualizing_soil,N/A,26.882694506187505
156,LL0_520_analcatdata_wildcat,13.72167230272187,9.676435137402537
157,LL0_329_hayes_roth,N/A,0.4733044733044733
158,LL0_1527_volcanoes_a1,0.8088883574733178,0.2689154723665817
159,LL0_59_ionosphere,0.9001806206224836,0.8621323529411766
160,LL0_40693_xd6,N/A,0.778485576923077
161,LL0_40497_thyroid_ann,0.9680063048707639,0.0646853518717111
162,LL0_1113_kddcup99,N/A,0.6079590134066415
163,LL0_56_vote,N/A,0.9579655317360236
164,LL0_949_arsenic_female_bladder,0.6317965626434195,0.6262626262626262
165,LL0_40646_GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,N/A,0.5512831862759564
166,LL0_337_spectf,0.8227183620217676,0.7914366335418966
167,LL0_1528_volcanoes_a2,0.3484097328329256,0.22786690433749254
168,LL0_255_breast_cancer_wisconsin_original,0.9544168390768029,0.9607809943005474
169,LL0_29_credit_approval,0.8651993622098886,0.8171675652591683
170,LL0_201_pol,N/A,1704.6110877998074
171,LL0_451_irish,N/A,1.0
172,LL0_709_disclosure_x_bias,596474422.6314346,472898890.14561415
173,LL0_287_wine_quality,N/A,0.5445912907022196
174,LL0_572_bank8fm,N/A,0.0016637752487824072
175,LL0_1511_wholesale_customers,0.8865204558613577,0.8809523809523809
176,LL0_1008_analcatdata_reviewer,0.6129961335758816,0.548440065681445
177,LL0_851_tecator,0.8331315236191397,0.8881090428237208
178,LL0_1043_ada_agnostic,0.7413317028134839,0.778465928876583
179,LL0_1050_pc3,0.6052634816714887,0.4546769527483125
180,LL0_1068_pc1,0.6273658045040165,0.5286729857819906
181,LL0_54_vehicle,0.7233843452468809,0.8240585473397379
182,LL0_40702_flare,N/A,0.621203830369357
183,LL0_519_vinnie,2.464195889523846,2.173898214116138
184,LL0_1063_kc2,0.7356927815767118,0.6829268292682926
185,LL0_529_pollen,2.0271928786373463,2.1192104304357264
186,LL0_1026_grub_damage,0.5765079365079364,0.6047430830039526
187,LL0_1530_volcanoes_a4,0.2951807495420797,0.2420399071046021
188,LL0_344_mv,N/A,20.02610784023122
189,LL0_854_fishcatch,0.9457142857142857,0.9691071980228608
190,LL0_509_places,891297.8422856664,950960.9657470314
191,LL0_522_pm10,0.6579744556945272,0.662732215815376
192,LL0_1498_sa_heart,0.6418860682335482,0.7198879551820729
193,LL0_450_analcatdata_lawsuit,0.8682027649769586,0.9639639639639641
194,LL0_1499_seeds,0.9264814814814816,0.9696280502250652
